step 0: train loss 10.9886, val loss 10.9898
iter 3370: loss 3.8159, time 3798.54ms, mfu 15.30%
iter 3380: loss 3.6272, time 3773.28ms, mfu 15.19%
iter 3390: loss 3.9814, time 3765.50ms, mfu 15.10%
iter 3400: loss 3.6029, time 3655.32ms, mfu 15.07%
iter 3410: loss 3.6505, time 3668.53ms, mfu 15.03%
iter 3420: loss 3.7745, time 3618.93ms, mfu 15.01%
iter 3430: loss 3.6215, time 3598.62ms, mfu 15.01%
iter 3440: loss 3.5478, time 3544.86ms, mfu 15.03%
iter 3450: loss 3.6579, time 3298.79ms, mfu 15.16%
iter 3460: loss 3.5790, time 3295.57ms, mfu 15.28%
iter 3470: loss 3.4977, time 3453.73ms, mfu 15.31%
iter 3480: loss 3.7102, time 3450.13ms, mfu 15.34%
iter 3490: loss 3.6544, time 3544.02ms, mfu 15.33%
iter 3500: loss 3.7380, time 3792.06ms, mfu 15.21%
iter 3510: loss 3.7267, time 3780.31ms, mfu 15.12%
iter 3520: loss 3.6180, time 3670.80ms, mfu 15.07%
iter 3530: loss 3.4361, time 3596.45ms, mfu 15.06%
iter 3540: loss 3.6656, time 3549.91ms, mfu 15.07%
iter 3550: loss 3.4951, time 3295.84ms, mfu 15.20%
iter 3560: loss 3.6397, time 3304.41ms, mfu 15.31%
iter 3570: loss 3.6487, time 3452.61ms, mfu 15.34%
iter 3580: loss 3.7090, time 3448.50ms, mfu 15.37%
iter 3590: loss 3.7741, time 3529.37ms, mfu 15.36%
iter 3600: loss 3.6735, time 3788.64ms, mfu 15.24%
iter 3610: loss 3.5386, time 3779.25ms, mfu 15.14%
iter 3620: loss 3.4477, time 3782.49ms, mfu 15.05%
iter 3630: loss 3.6758, time 3641.34ms, mfu 15.03%
iter 3640: loss 3.7501, time 3607.53ms, mfu 15.02%
iter 3650: loss 3.5970, time 3551.43ms, mfu 15.03%
iter 3660: loss 3.7336, time 3305.22ms, mfu 15.16%
iter 3670: loss 3.7933, time 3293.43ms, mfu 15.28%
iter 3680: loss 3.7081, time 3295.70ms, mfu 15.39%
iter 3690: loss 3.6135, time 3299.32ms, mfu 15.48%
iter 3700: loss 3.5453, time 3306.40ms, mfu 15.56%
iter 3710: loss 3.5175, time 3358.38ms, mfu 15.61%
iter 3720: loss 3.6695, time 3394.93ms, mfu 15.63%
iter 3730: loss 3.5692, time 3354.75ms, mfu 15.68%
iter 3740: loss 3.5690, time 3439.76ms, mfu 15.67%
